time,open,high,low,close,volume
2022-09-28 09:00:00,122.2,124.08,121.3612,123.59,379648
2022-09-28 08:00:00,122.34,122.74,121.75,122.35,107760
2022-09-28 07:00:00,121.5,122.99,121.4,122.3,134384
2022-09-28 06:00:00,122.26,122.31,121.2,121.37,30626
2022-09-28 05:00:00,123.55,123.55,121.7,122.4,46348
2022-09-27 20:00:00,124.7,125.3,124.5,125.29,93896
2022-09-27 19:00:00,124.59,124.76,124.3,124.51,28301
2022-09-27 18:00:00,124.4,124.5986,124.3,124.5,46657
2022-09-27 17:00:00,124.11,124.479,123.9,124.479,475577
2022-09-27 16:00:00,124.22,124.64,123.53,124.1,8060573
2022-09-27 15:00:00,123.3,124.65,122.98,124.19,5927888
2022-09-27 14:00:00,123.52,123.7499,122.73,123.3,4993387
2022-09-27 13:00:00,124.74,124.74,122.58,123.52,6506169
2022-09-27 12:00:00,126.81,127.04,124.67,124.75,6916149
2022-09-27 11:00:00,126.05,126.99,124.86,126.79,10204372
2022-09-27 10:00:00,124.82,127.36,124.52,126.0,9758696
2022-09-27 09:00:00,123.9111,125.27,121.975,124.88,451736
2022-09-27 08:00:00,124.03,124.73,123.9,124.53,137215
2022-09-27 07:00:00,123.8,124.31,123.8,124.2,17791
2022-09-27 06:00:00,124.05,124.05,123.61,123.75,20237
2022-09-27 05:00:00,124.5,125.0,124.0,124.04,45385
2022-09-26 20:00:00,121.97,122.4,121.95,122.25,74974
2022-09-26 19:00:00,121.9,122.1,121.71,121.83,54412
2022-09-26 18:00:00,122.1,122.179,121.75,121.93,68764
2022-09-26 17:00:00,122.28,122.3,121.8254,122.12,1835339
2022-09-26 16:00:00,123.945,124.44,122.14,122.23,8684560
2022-09-26 15:00:00,122.47,124.13,122.4479,123.95,6510236
2022-09-26 14:00:00,123.36,123.54,122.34,122.5,6048426
2022-09-26 13:00:00,124.185,124.185,122.62,123.37,5230712
2022-09-26 12:00:00,124.39,124.47,123.04,124.1624,7382903
2022-09-26 11:00:00,125.8,126.59,124.02,124.3813,8376744
2022-09-26 10:00:00,125.3,126.1,124.013,125.78,8222792
2022-09-26 09:00:00,124.33,125.45,123.09,125.4,209266
2022-09-26 08:00:00,124.6,124.68,124.0,124.4,64681
2022-09-26 07:00:00,124.42,124.89,123.39,124.5,22914
2022-09-26 06:00:00,125.51,125.51,123.86,124.64,37124
2022-09-26 05:00:00,124.86,126.2,124.82,125.57,43874
2022-09-23 20:00:00,125.25,125.74,125.08,125.08,66710
2022-09-23 19:00:00,124.93,125.42,124.75,125.2,89158
2022-09-23 18:00:00,125.15,125.34,124.92,124.95,559327
2022-09-23 17:00:00,125.16,125.4,125.05,125.08,409886
2022-09-23 16:00:00,122.81,125.7782,122.77,125.21,13296615
2022-09-23 15:00:00,123.56,123.88,122.57,122.83,7115208
2022-09-23 14:00:00,123.91,124.2,123.18,123.57,5508021
2022-09-23 13:00:00,124.01,124.14,122.75,123.91,6050474
2022-09-23 12:00:00,124.49,125.395,123.0,124.02,8726910
2022-09-23 11:00:00,123.37,125.36,122.75,124.4903,12256211
2022-09-23 10:00:00,122.68,126.11,122.5,123.38,9473866
2022-09-23 09:00:00,122.5,124.3012,122.01,122.62,378587
2022-09-23 08:00:00,123.12,123.33,122.0,122.5,153568
2022-09-23 07:00:00,123.3,123.48,122.82,122.82,25762
2022-09-23 06:00:00,124.06,124.19,123.01,123.47,47315
2022-09-23 05:00:00,125.46,125.46,124.01,124.17,38436
2022-09-22 20:00:00,125.48,125.72,125.39,125.65,66320
2022-09-22 19:00:00,125.54,125.62,125.37,125.38,44975
2022-09-22 18:00:00,125.52,125.66,125.36,125.55,57176
2022-09-22 17:00:00,125.61,128.22,125.13,125.52,838413
2022-09-22 16:00:00,125.23,127.61,125.23,125.59,13150532
2022-09-22 15:00:00,125.99,126.2399,124.28,125.23,7708873
2022-09-22 14:00:00,126.31,126.3825,125.46,125.99,6006688
2022-09-22 13:00:00,125.98,126.79,125.46,126.3011,6792814
2022-09-22 12:00:00,125.75,126.66,125.2122,125.98,10695062
2022-09-22 11:00:00,127.62,128.525,125.64,125.7588,16045807
2022-09-22 10:00:00,132.5,132.5,127.04,127.6,12068130
2022-09-22 09:00:00,132.87,133.15,131.3511,132.3,323750
2022-09-22 08:00:00,132.87,133.2,131.41,132.25,100906
2022-09-22 07:00:00,132.18,133.03,132.14,132.87,23991
2022-09-22 06:00:00,133.21,133.21,132.0,132.35,28394
2022-09-22 05:00:00,132.0,134.06,132.0,133.16,85250
2022-09-21 20:00:00,131.02,131.2,130.0,130.5,157372
2022-09-21 19:00:00,131.8,131.89,130.92,131.15,69927
2022-09-21 18:00:00,132.61,133.62,131.74,131.9,62474
2022-09-21 17:00:00,132.61,132.771,131.6,131.94,1569436
2022-09-21 16:00:00,139.1847,139.7,132.54,132.55,16219392
2022-09-21 15:00:00,136.6857,140.31,131.76,139.175,23309816
2022-09-21 14:00:00,135.31,136.8499,134.86,136.6857,5231856
2022-09-21 13:00:00,135.065,136.0766,134.91,135.325,6875762
2022-09-21 12:00:00,133.895,135.37,133.78,135.06,7673668
2022-09-21 11:00:00,133.33,134.48,133.2112,133.9116,9851760
2022-09-21 10:00:00,132.76,133.47,131.1,133.355,6975639
2022-09-21 09:00:00,131.838,133.11,131.6002,132.75,189307
2022-09-21 08:00:00,131.75,132.09,131.6,132.07,32993
2022-09-21 07:00:00,131.85,131.86,131.5,131.75,11514
2022-09-21 06:00:00,131.55,131.9,131.37,131.9,11191
2022-09-21 05:00:00,131.5,131.85,130.8,131.66,26332
2022-09-20 20:00:00,131.87,131.87,131.53,131.53,29119
2022-09-20 19:00:00,131.85,131.9,131.63,131.89,36864
2022-09-20 18:00:00,131.89,131.96,131.76,131.86,26872
2022-09-20 17:00:00,131.75,132.18,131.64,131.86,394744
2022-09-20 16:00:00,131.88,132.58,131.58,131.74,7407711
2022-09-20 15:00:00,130.6813,132.29,130.65,131.89,6136274
2022-09-20 14:00:00,133.12,133.28,130.57,130.72,7311727
2022-09-20 13:00:00,134.69,134.78,132.67,133.1233,5771998
2022-09-20 12:00:00,134.09,134.8276,133.47,134.675,7707510
2022-09-20 11:00:00,132.52,134.2198,132.21,134.09,9614149
2022-09-20 10:00:00,132.7,133.2,131.64,132.51,6521241
2022-09-20 09:00:00,135.0,135.0,132.29,132.7,193569
